author,title,description
Lois Frankel,Democrat from Florida,Lois Frankel is a former state legislator and West Palm Beach mayor who won her first seat for Congressional District 22 in Broward/Palm Beach in 2012.
Joseph Trillo,Republican from Rhode Island,"Joseph A. Trillo, a Republican representing District 24 in Warwick, has served in the House since 2001. He is the House Minority Whip, a member of the Corporations Committee, and President of AAA Custom Alarms/Real Estate Investing."
Republican Party of Texas,Republican from Texas,The Republican Party of Texas says it promotes a conservative government philosophy in the Lone Star state.
Kinky Friedman,Democrat from Texas,"Kinky Friedman, a humorist, author and singer, sought the 2010 and 2014 Democratic nod for Texas agriculture commissioner. He ran as an independent for governor in 2006."
Friends of India Point Park,Organization from Rhode Island,"Friends of India Point Park is a group of citizens dedicated to protecting, improving, and expanding the waterfront park in Providence, R.I."
Hank Johnson,Democrat from Georgia,"Hank Johnson, a Democrat, represents Georgia's 4th Congressional District"
Barbara Buono,Democrat from New Jersey,Barbara Buono is a Democratic state senator representing part of Middlesex County. Buono previously served in the State Assembly from 1994 to 2001.
Todd Wilcox,Republican from Florida,"Todd Wilcox is an Orlando businessman who ran for the U.S. Senate in 2016 and then dropped out of the race. He is a former Special Forces commander and combat veteran who worked for the CIA before opening his defense contracting company, Patriot Defense Group."
Rees Lloyd,None from Oregon,Rees Lloyd is an attorney who contributes to the blog of Portland talk-radio host Victoria Taft.
Americans for Prosperity,The PolitiFact scorecard,"Americans for Prosperity is a conservative group advocates for limited government, free markets and fiscal and regulatory restraint."
Jay Carney,None from District of Columbia,"Jay Carney, the White House press secretary, was formerly employed by TIME magazine and CNN, according to a TIME biographical post."
John Charles,Libertarian from Oregon,"John Charles is the president and CEO of the Cascade Policy Institute, a free-market think tank."
Defenders of Wildlife Action Fund,,
Kellyanne Conway,,"Kellyane Conway is a White House counselor to President Donald Trump. Previously, she was a Republican strategist and pollster who served as campaign manager for Trump's 2016 presidential campaign."
Meg Whitman,Republican from California,"Meg Whitman is the former CEO of eBay and the 2010 Republican gubernatorial nominee in California. Largely self-financing her campaign, Whitman lost the general election to then-Attorney General Jerry Brown."
Andy Duyck,None from Oregon,Andy Duyck was born on a farm outside Hillsboro and has served as a Washington County commissioner since 1994. He was sworn in as board chairman in January 2011.
Eugene McKenna,Newsmaker from Rhode Island,"The Rev. Eugene J. McKenna is president of Citizens Concerned About Casino Gambling, a Rhode Island group that opposes allowing casinos in the state. He was pastor of St. Lucy's Church in Middletown from 1983 to 2008. He is now pastor emeritus of the church and lives in South Kingstown."
Johnny Isakson,Republican from Georgia,"Johnny Isakson, a Republican, is a U.S. senator from Georgia"
Progress Texas,None from Texas,"On its website, Progress Texas describes itself as a ""nonprofit communications hub that educates the public about politicians, policies and organizations that have a direct impact on the everyday lives of Texans."" Its mission, according to the website, is ""to provide a strong, credible and enduring progressive voice that will ensure more inclusive, just and sustainable policies for Texas."""
Georgia State Road and Tollway Authority,,
Matt Adamczyk,,Republican Matt Adamczyk was elected Wisconsin state treasurer in 2014.
Marc Molinaro,,
Thom Hartmann,,"Thom Hartmann is a liberal TV and radio talk show host. He hosts The Big Picture, which airs on RT."
Luis Alejo,Democrat from California,"Luis Alejo, Democratic state lawmaker from Salinas"
Michael Burgess,Republican from Texas,"Burgess, initially elected to Congress in 2002, founded and chairs the Congressional Health Care Caucus, which raises questions about the Democratic-steered overhaul of federal health laws that passed into law in the spring of 2010."
Joe Garcia,Democrat from Florida,"Joe Garcia, D-Miami, won the Congressional District 26 seat in Miami-Dade and Monroe counties in 2012 and lost re-election to Carlos Curbelo in 2014. He is running for the seat in 2016."
Anitere Flores,Republican from Florida,Anitere Flores is a Republican state representative from Miami.
Jonathan Boucher,Democrat from Rhode Island,Jonathan Boucher is the executive director of the Rhode Island Democratic Party.
Dick Morris,,Dick Morris is a former advisor to President Clinton. He is now an ardent Clinton-basher and Fox News contributor.
Rick McAllister,None from Georgia,Rick McAllister is president of the Georgia Retailers Association.
Barry DuVal,Organization from Virginia,"Barry DuVal was named President & CEO of the Virginia Chamber of Commerce on April 28, 2010. His public service began in 1988 when he was elected to the Newport News City Council. In 1990, he was elected mayor of the city. He served as mayor from 1990 through 1996, when he stepped down to become the president and CEO of a regional economic development organization representing Southeast Virginia. From 1998 through 2002 DuVal served as Virginia's scretary of trade and commerce under then-Gov. Jim Gilmore, a Republican. His private sector experience includes serving as president and CEO of DuVal Associates, Inc, a diversified real estate firm, from 1983-1996. Upon the completion of his term as the secretary of commerce and trade, he served as president and CEO of Kaufman & Canoles Consulting, LLC, an economic development consulting firm specializing in public-private partnerships and strategic planning for business and government agencies."
Katrina Shankland,Democrat from Wisconsin,Katrina Shankland was elected as a Democrat to the State Assembly in 2012 and re-elected in 2014. As of 2015 she was serving as assistant minority leader. She lives in Stevens Point in Assembly District 71 in central Wisconsin.
Tom Barrett,Democrat from Wisconsin,"Tom Barrett has served as mayor of Milwaukee since 2004. He previously served in the U.S. House and the state Legislature. He lost bids for governor in 2002, 2010 and in the 2012 recall race against Gov. Scott Walker"
Penny Bernard Schaber,,Penny Bernard Schaber was elected to the Wisconsin Assembly in 2008. The Appleton Democrat is a retired physical therapist.
Tim Sheehy,,Tim Sheehy is president of the Metropolitan Milwaukee Association of Commerce.
Wisconsin Department of Transportation,None from Wisconsin,The Wisconsin Department of Transportation includes the DSepartment of Motor Vehicles.
Bobby Scott,Democrat from Virginia,"Bobby Scott, D-3rd, has been a member of the U.S. House of Representatives since 1993. The district is comprised of all of Charles City and Surry counties and Petersburg and Portsmouth and portions of Henrico and Prince George counties and Hampton, Newport News, Norfolk and Richmond. Scott has seats on the Judiciary and Education and Labor committees. Scott previously served in the Virginia House of Delegates in 1979-83 and in the state Senate in 1983-93. He was a member of the National Guard and U.S. Army Reserve. He was a lawyer in a private practice from 1973-91. Scott was born in Washington, D.C. He earned a bachelor's degree from Harvard University, Cambridge, Mass., in 1969 and a law degree from Boston College in 1973."
Betsy Miller-Jones,,
Patriotnetwork.one,,Patriotnetwork.one is a website that posts news critical of Muslims and on other topics.
Jesse Ventura,Independent from Minnesota,"Jesse Ventura is an author, a former governor of Minnesota (1999-2003) and a former professional wrestler."
Sheila Harsdorf,Republican from Wisconsin,"Republican Sheila Harsdorf has been a member of the Wisconsin state Senate since 2000, representing a northwest Wisconsin district. She previously served in the state Assembly from 1988 to 1998. Harsdorf survived an August 2011 recall election by defeating Democrat Shelly Moore."
Allen Andrews,Republican from Missouri,Allen Andrews is a Republican who was elected to the state House in 2014.
Grover Fugate,State official from Rhode Island,"Grover Fugate is executive director of the Rhode Island Coastal Resources Management Council, a state agency whose mission is to protect the state’s coastline."
George Takei,,George Takei is an actor known for playing Mr. Sulu on Star Trek. He now has a large online following and often speaks out on political issues.
Rodney Frelinghuysen,,"Rodney Frelinghuysen is a Republican Congressman representing New Jersey's 11th district, which includes all of Morris County and parts of Sussex, Somerset, Passaic, and Essex counties."
Coalition to Bring Jobs to R.I.,,
David Madland,,David Madland is the director of the American Worker Project for the liberal-leaning Center for American Progress.
Online petition,None from Rhode Island,"Stop the Mass Killings of Coyotes is an online petition circulated on Rhode Island's Aquidneck Island. It follows approval by the Middletown Town Council to authorize a hunter to kill coyotes, following complaints from residents."
Barbara Sharief,Democrat from Florida,Barbara Sharief is the mayor of Broward County as well as a county commissioner.
Building a Better Ohio,None from Ohio,"Building a Better Ohio is a political action committee promoting passage of Issue 2 in Ohio. Passage of the state issue would allow provisions of Senate Bill 5, a law overhauling collective bargaining rules for public workers in Ohio, to be implemented."
Chris Kennedy,,Chris Kennedy is a businessman and a son of former U.S. Senator Robert F. Kennedy.
Martavius Jones,Democrat from Tennessee,"A graduate of Memphis Central High and Howard University, Jones is president and financial advisor for Jones Wealth Managament Group. He was a leader in the move to force consolidation with suburban schools by surrendering the Memphis City Schools charter and serves on the county's schools merger Transition Planning Commission."
Mike Prendergast,Republican from Florida,Mike Prendergast is a Republican candidate in Florida's 11th Congressional District.
Anita Perry,Republican from Texas,"Anita Perry became the First Lady of Texas when her husband, Rick, became governor in late 2000. According to a biographical post on the governor's website, she is dedicated to improving the health of her state, preserving its culture and promoting its business climate. Her husband didn't seek re-election in 2014."
Lee Holloway,None from Wisconsin,"Lee Holloway is the chairman of the Milwaukee County Board of Supervisors. He represents the county's 5th District, which encompasses parts of Milwaukee's north side. He was elected to the board in 1992 and has served as chairman since 2004."
Mike Haridopolos,Republican from Florida,"Mike Haridopolos, a Republican, is the president of the Florida Senate.  Haridopolos represents District 26 which spans portions of Osceola, Brevard and Indian River counties. He was elected to the state senate in 2003, and previously served in the State House of Representatives."
John Loughlin,Republican from Rhode Island,"John Loughlin is state representative from Tiverton who ran an unsuccessful 2010 campaign for Congress in Rhode Island's 1st District. He owns a television, radio and film production company and served 26 years in the military, retiring as a lieutenant colonel in the Army Reserve in 2006. He is married with two daughters."
Jon Bramnick,Republican from New Jersey,"Jon Bramnick is a Republican state assemblyman representing parts of Morris, Somerset and Union counties. Bramnick also serves as the Assembly Republican Leader."
Tom Graves,The PolitiFact scorecard,Tom Graves represents Georgia's 9th Congressional District.
New Century Times,,New Century Times is a website and news aggregator.
David Alameel,Democrat from Texas,"David Alameel, a dentist-turned-investor, was the Democratic U.S. Senate nominee in Texas in 2014."
Heather Fiorentino,Republican from Florida,"Heather Fiorentino is the superintendent of Pasco County's public schools. She was elected superintendent in 2004, after serving six years in the Florida House of Representatives and five years on the New Port Richey City Council."
Celia Israel,Democrat from Texas,"Celia Israel, an Austin Realtor, won election to the Texas House in a January 2014 special election."
Franklin Sands,Democrat from Florida,Franklin Sands is Florida's House Democratic Leader.
City of Atlanta,,City of Atlanta
Glenford Shibley,Republican from Rhode Island,"Glenford J. Shibley is a Republican Rhode Island state senator who represents District 33 -- Coventry, Warwick, West Warwick and East Greenwich. He is a retired police officer and former assistant director of Rhode Island's Municipal Police Academy."
Troy LaRaviere,,Troy LaRaviere is the president of the Chicago Principals and Administrators Association and a former principal of a Chicago elementary school.
Roy Barnes,Democrat from Georgia,Roy Barnes is the former governor of Georgia.
Empower Texans,None from Texas,A nonprofit and political action committee that advocates for limited government.
Trent Franks,Republican from Arizona,Trent Franks is a Republican member of the U.S. House representing a district in Arizona.
Raj Shah,,Raj Shah is the president of the Rockefeller Foundation and former USAID administrator.
Roger Falk,None from Texas,"Roger Falk, an Austin resident, has been a volunteer with the Travis County Taxpayers Union."
Rodney Ellis,Democrat from Texas,"Ellis, a former member of the Houston City Council, was initially elected to the Texas Senate in 1990. On his campaign website, he singles out his authorship of legislation affording state-funded college grants for needy students. He chairs the Senate Committee on Government Organization."
Starbucks,,Seattle-based Starbucks is a coffee company.
Stephen Fincher,Republican from Tennessee,"Stephen Fincher, a Republican who hails from tiny Frog Jump, Tenn., represents Tennessee’s 8th Congressional District. He is a farmer and managing partner in Fincher Farms."
Andy Berke,Democrat from Tennessee,"A graduate of Stanford University and Chicago University School of Law, Berke returned to his hometown of Chattanooga and in 2007 was elected to the state Senate. He is the vice-chairman of the Democratic caucus."
Jacqueline Collins,Democrat from Illinois,Jacqueline Collins is an Illinois state Senator from Chicago representing the state's 16th District.
Rob Astorino,Republican from New York,"Rob Astorino is a Republican who is the county executive of Westchester County, N.Y., just north of New York City. He is running against Democratic Gov. Andrew Cuomo."
Patrick Kennedy,Democrat from Rhode Island,"Patrick Kennedy is a former Democratic congressman from Rhode Island. He served from 1995 to 2011, opting not to seek re-election in 2010 following the death of his father, Massachusetts Sen. Ted Kennedy."
Charles Perry,Republican from Texas,Charles Perry was elected to his first term in the Texas House in 2010.
Oregon Education Association,None from Oregon,"The Oregon Education Association  is a union that represents about 47,000 educators working in pre-kindergarten through grade 12 public schools and community colleges."
Nowtrump.com,,Nowtrump.com is a pro-Trump fake news website.
Virginia Education Association,,"The Virginia Education Association is a lobbying organization that represents 50,000 Virginia teachers and public education professionals"
Earl Blumenauer,Democrat from Oregon,"Earl Blumenauer is the Democratic representative for Oregon's 3rd Congressional District. He was elected to the US House of Representatives in 1996. He started in politics in the Oregon Legislature in 1972, where he served three terms. In 1978, he was elected to the Multnomah County Board of Commissioners, where he served for eight years before being elected to the Portland City Council in 1986. He was a city commissioner for 10 years."
Bob Goodlatte,Republican from Virginia,"Bob Goodlatte, a Republican, was first elected to Congress in 1993. He represents Virginia's 6th District, centered in Roanoke. He is currently the chairman of the House Judiciary Committee and the vice chairman of the House Agriculture Committee. Goodlatte earned a law degree from Washington and Lee University School of Law, Lexington, in 1977. His undergraduate degree in government was earned at Bates College in Lewiston, Maine, in 1974."
Laurence Tribe,None from Massachusetts,Laurence H. Tribe is the Carl M. Loeb university professor and professor of constitutional law at Harvard University. He has taught at Harvard Law School since 1968.
Meria Carstarphen,None from Texas,"Meria Joel Carstarphen, superintendent of the Austin Independent School District, was previously superintendent of the Saint Paul (Minn.) Public Schools."
Dan Gecker,Democrat from Virginia,"Dan Gecker, a member of the Chesterfield County Board of Supervisors, is the 2015 Democratic nominee for the 10th District state Senate seat in Virginia. Gecker served on the Chesterfield Planning Commission from 2000-2007 and subsequently has been elected to two terms on the Board of Supervisors. Gecker holds a degree in economics from Princeton University and a law degree from the Marshall-Wythe School of Law at the College of William and Mary. He practiced tax and real estate law for over two decades. Gecker retired from the practice of law in 2004 to manage the tax credit syndication business he founded and to participate in the rehabilitation of historic structures."
Rainbow/PUSH Coalition,,The Rainbow PUSH Coalition is a civil rights organization founded by Jesse Jackson. It is based in Chicago.
Ocean State Policy Research Institute,Organization from Rhode Island,"The Ocean State Policy Research Institute was a non-profit, conservative organization that focuses on ""crafting sound public policy based on the principles of free enterprise, limited government, and traditional American values."" It existed from July 2007 to July 2011."
Thomas Sgouros Jr.,Columnist from Rhode Island,Thomas Sgouros Jr. is a columnist with GoLocalProv.com.
Lainey Melnick,Democrat from Texas,"Lainey Melnick, an Austin resident, was the 2010 Democratic nominee challenging GOP U.S. Rep. Lamar Smith of San Antonio. In 2008, she says on her campaign website, she was the Austin regional lead in Travis County for Organizing for America, a group supporting Barack Obama for president."
Joseph Crowley,Democrat from New York,Joseph Crowley is the U.S. Representative for New York's 14th Congressional District.
Paul Sadler,Democrat from Texas,"Paul Sadler, a lawyer who previously worked with the Wind Coalition energy advocacy group, served in the Texas House from 1991 through 2003, an East Texas district around Henderson. He was his party's 2012 U.S. Senate nominee."
We Are Ohio,None from Ohio,"We Are Ohio is a citizen-driven, community-based, bipartisan coalition that has come together to repeal Senate Bill 5 in Ohio. The legislation would overhaul rules for collective bargaining by public employees."
Shelly Moore,Democrat from Wisconsin,"Shelly Moore, as a high school teacher in Ellsworth and local teacher union president, ran for the Wisconsin Senate as a Democrat in 2011 when incumbent Sen. Sheila Harsdorf, R-River Falls, was recalled following her vote in favor of Gov. Scott Walker’s controversial budget-repair bill. Harsdorf defeated Moore."
Ann Marie Buerkle,Republican from New York,"Ann Marie Buerkle is a Republican U.S. representative from New York, having defeated Rep. Dan Maffei for his seat in the 2010 election."
Ryan Zinke,Republican from Montana,"Ryan Zinke is a member of the U.S. House of Representatives, representing Montana's at-large congressional district."
Robert Duffy,,
Mike Dovilla,Republican from Ohio,"Mike Dovilla is a member of the Ohio House of Representatives. He was elected in 2010 to his first term. A resident of Berea, his 18th District in suburban Cleveland also includes North Royalton, Olmsted Falls, Olmsted Township and Strongsville."
Ben Affleck,,"Ben Affleck is an Oscar-winning actor, producer, director and screenwriter whose film career includes Argo and Gone Girl. He is a member of the Democratic Party and co-founded the Eastern Congo Initiative. He is married to actress Jennifer Garner."
Scott Suder,Republican from Wisconsin,"Scott Suder is a Republican member of the state Assembly from Abbotsford, in north central Wisconsin. He represents the 69th Assembly District and serves as the Assembly Majority leader. He was elected to the seat in 1998."
Sam Adams,Democrat from Oregon,"Sam Adams is the mayor of Portland. Before that he was a city commissioner and , for 11 years, was chief of staff to then-Mayor Vera Katz."
Bob Buckhorn,None from Florida,"Bob Buckhorn is making his second run for mayor in Tampa's nonpartisan elections on March 1, 2011. He previously served on the City Council from 1995-2003."
Ken Mercer,Republican from Texas,"Ken Mercer, a software engineer, was first elected to the State Board of Education in 2006. He is also a former member of the Texas House."
Organizing for Action,"Democrat from Washington, D.C.",Organizing for Action is a group that supports President Barack Obama and his agenda.
Donna Nesselbush,Democrat from Rhode Island,Donna Nesselbush is a lawyer and Rhode Island state senator representing District 15 in Pawtucket.
Becky Moeller,Democrat from Texas,"Becky Moeller, head of the 235,000-member Texas AFL-CIO labor federation since 2007, became the first female statewide elected official  in the group in 2003 by becoming its secretary-treasurer, according to biographical information posted by the group. She announced in 2014 plans to step down in July 2015. Before coming to the Texas AFL-CIO, Moeller was president of the Communications Workers of America Local 6137, the Corpus Christi local representing workers at SBC (now AT&T), the entry says."
Oregon PTA,,The Oregon PTA is the largest network of parents in Oregon.
Kay Hagan,Democrat from North Carolina,Kay Hagan served one term as a Democrat representing North Carolina in the U.S Senate.
Kevin Nicholson,,"Republican Kevin Nicholson, a former Marine, announced in July 2017 that he would run in 2018 for the seat held by U.S. Sen. Tammy Baldwin, D-Wis. He is a business consultant who lives in Delafield, Wis."
Americans United for Change,The PolitiFact scorecard,"A liberal advocacy group, Americans United For Change states on its Web site that it was founded in 2005 to fend off President Bush's plan to privatize Social Security. In 2006, the organization ""broadened its scope to build broad public and congressional support for action on a wide range of long-stalled policy issues."""
Ted Kanavas,Republican from Wisconsin,"Ted Kanavas is a former Republican state senator representing the city of Brookfield, in Waukesha County. Since leaving the Legislature, he has headed the lobbying arm for the Milwaukee-based lawfirm Michael, Best & Friedrich. He also is a pundit on the WisPolitics.come web show, The Insiders."
Bill Haslam,Republican from Tennessee,Bill Haslam is the former mayor of Knoxville and is now the governor of Tennessee.
Michael Chippendale,Republican from Rhode Island,"Michael W. Chippendale, of Foster, is a Republican state representative for District 40 in Rhode Island."
Pete Sessions,Republican from Texas,"Pete Sessions, who represents a Dallas-area district in the U.S. House, was initially elected to Congress in 1996."
Ohio Republican Party,Republican from Ohio,Statewide organization for Ohio's Republicans.
Gene McIntyre,,Keizer resident Gene McIntyre is a frequent guest columnist and letters writer to newspaper editors.
Diane Black,Republican from Tennessee,"The former Tennessee state legislator was elected to Congress in the Republican wave of 2010. She lives in a suburb of Nashville, Gallatin, and represents the state's 6th Congressional District, which encompasses areas north, east and south of Nashville. She has worked as both an emergency-room nurse and long-term care nurse, is married to a doctor and advocates for what she calls ""market based"" health-care reform."
Eva Marie Mancuso,State official from Rhode Island,"Lawyer Eva Marie Mancuso has been chairwoman of the Rhode Island Board of Education since 2013. A former assistant attorney general now in private practice, she spent two years as a member of the board's predecessor, the Board of Governors for Higher Education."
Kevin Cramer,Republican from North Dakota,Kevin Cramer is a U.S. Congressman representing North Dakota's At-large congressional district. He is running for U.S. Senate.
Rhode Island Retirement Security Coalition,Organization from Rhode Island,"The Rhode Island Retirement Security Coalition is a group of nine Rhode Island public sector employee unions representing teachers, police officers, fire fighters, correctional officers, and state and municipal employees."
Rana Foroohar,,Rana Foroohar is the assistant managing editor for Time magazine.
Freedom Daily,,"Freedom Daily bills itself as “a forum for discussing meaningful conservative American and world news."""
Roman McAllen,Democrat from Texas,"Roman McAllen, the 2018 Democratic nominee for a seat on the Texas Railroad Commission, said he entered the race ""because the wolves have been guarding the hen house for far too long."""
Anthony Brindisi,Democrat from New York,Anthony Brindisi is a member of the New York state Assembly from the Utica area.
John Scocos,,John Scocos is the secretary of the Wisconsin Department of Veterans Affairs.
Deborah Gist,State official from Rhode Island,"Deborah A. Gist has been Rhode Island's education commissioner since 2009. She had previously been the education chief in Washington, D.C."
Andrew White,Democrat from Texas,"Andrew White, a businessman whose father, Mark, served as governor of Texas from 1983 through 1986, seeks the 2018 Democratic nomination for governor."
Herb Garrett,None from Georgia,Herb Garrett is the executive director of the Georgia School Superintendents Association.
Democratic Governors Association,,The Democratic Governors Association is an independent organization that supports Democratic governors and candidates.
Nicholas Kettle,Republican from Rhode Island,"Rhode Island State Sen. Nicholas D. Kettle, a Republican, represents Coventry, Foster and Scituate."
Kim Simac,Republican from Wisconsin,"Kim Simac, a Republican, is a leader of the tea party movement in Wisconsin and is founder of Northwoods Patriots, a group based in Eagle River, Wis., that says it is dedicated to protecting Christian values. She ran unsuccessfully in a 2011 recall election against Democratic Wisconsin state Sen. Jim Holperin."
Jerry Jones,None from Texas,Jerry Jones has been the owner of the Dallas Cowboys football team since 1989.
Ted Lieu,Democrat from California,U.S. Rep. Ted Lieu is a Democrat who represents parts of Los Angeles County.
AFSCME People,,"AFSCME People is the political action fund for the American Federation of State, County and Municipal Employees -- one of the nation’s largest public service worker unions."
Stephen Laffey,Republican from Colorado,"Stephen Laffey is a former mayor of Cranston, R.I. He ran unsuccessfully for U.S. Senate in 2006 in a Republican primary against Lincoln Chafee. He now lives in Fort Collins, Col., where he breeds Irish Gypsy Vanner horses and red Dexter cattle."
"Our City, Our Safety, Our Choice",Organization from Texas,"Our City, Our Safety, Our Choice is a PAC urging Austin residents to vote against Proposition 1 on the city's May 7, 2016 ballot."
Todd Starnes,,Todd Starnes is a conservative columnist and radio show host.
BikePortland.org,None from Oregon,"BikePortland.org is an independent, daily news source that covers the Portland bike scene, run by Jonathan Maus."
Larry Kilgore,,"Since 2004, Larry Kilgore of Arlington has run as a pro-secession candidate for Texas offices including governor and U.S. senator."
Don Gaetz,Republican from Florida,"Don Gaetz, R-Niceville, is a Republican state Senator and a former school superintendent."
Charlie Justice,,Sen. Charlie Justice is a Democrat representing St. Petersburg.
Chris Abele,The PolitiFact scorecard,"Chris Abele is Milwaukee County Executive, a position he won in an April 2011 special election to finish out the final year of the term of Scott Walker, who was elected governor in November 2010. The election was the first attempt at political office for Abele, a Milwaukee philanthropist and business owner. The office is nonpartisan, but Abele has indicated he is a Democrat."
Bob Casey,Democrat from Pennsylvania,"Bob Casey, a Democrat, is a U.S. Senator representing Pennsylvania."
Gerard Robinson,Republican from Florida,Gerard Robinson was chosen by the Florida Board of Education to serve as the education commissioner in June 2011.
Jeffrey Hernandez,,Jeffrey Hernandez is the chief executive officer of National Academic Educational Partners.
Carlos Curbelo,Republican from Florida,"In 2009, Carlos Curbelo was state director for Republican U.S. Sen. George LeMieux and was elected to the Miami-Dade school board in 2010. Curbelo, a Republican who lives in Kendall, won the Congressional District 26 seat in 2014 and 2016."
Steve Moore,,Steve Moore is an editorial board member and senior economics writer at The Wall Street Journal.
John Taylor,Republican from Pennsylvania,State Representative of Pennsylvania
Jeff Merkley,Democrat from Oregon,Jeff Merkley is a Democratic senator from Oregon. He was elected in 2008. Merkley won his first campaign for the Oregon Legislature as a representative in 1998. He was elected Democratic leader in 2003 and speaker of the House in 2007. He studied international relations at Stanford University and earned a graduate degree in public policy at Princeton's Woodrow Wilson School of Public and International Affairs.
Texas Right to Life,,
John Oxendine,Republican from Georgia,Georgia Insurance Commissioner John Oxendine is running for governor in 2010.
Duane Hall,Democrat from North Carolina,Duane Hall is a Democratic member of the N.C. House of Representatives. He's a lawyer and lives in Raleigh.
Metro Atlanta Voter Education Network,,The Metro Atlanta Voter Education Network is a coalition of businesses and civic groups that is running a public information campaign to educate voters about a July 2012 transportation referrendum.
Rhode Island Tea Party,,"The Rhode Island Tea Party describes itself as a liberty movement dedicated to the core values of the U.S. Constitution: limited government, fiscal and personal responsibility, and individuals rights."
Foundation for Florida's Future,Republican from Florida,Foundation for Florida's Future is an education policy nonprofit organiztion founded by former Florida Gov. Jeb Bush.
William Barber,Activist from North Carolina,Rev. William Barber is the president of the North Carolina NAACP.
" Red, White and Blue Fund",,The Red White and Blue Fund is a super PAC supporting Rick Santorum.
One New Jersey,,One New Jersey is a 501(c)4 advocacy organization that opposes Gov. Chris Christie's policies.
U.S. Chamber of Commerce,The PolitiFact scorecard,"From the chamber's Web site: ""The U.S. Chamber of Commerce is the world's largest business federation representing 3 million businesses of all sizes, sectors, and regions, as well as state and local chambers and industry associations. More than 96% of U.S. Chamber members are small businesses with 100 employees or fewer."""
James Durkan,Republican from Tennessee,"James Durkan is running in the Republican primary for U.S. Senate, challenging the incumbent Bob Corker."
James Tedisco,Republican from New York,James Tedisco is a State Senator from New York's Capital Region and North Country. He previously served in the state Assembly.
Dave Hansen,Democrat from Wisconsin,"Hansen, a Democrat from Green Bay, is a former teacher and truck driver who was elected to the Wisconsin Senate in 2000 and re-elected since. He was recalled in 2011 during the fallout from Republican Gov. Scott Walker's collective-bargaining bill and the subsequent protests, but won the recall election and held onto his seat. Hansen was one of 14 Democrats who fled the state for weeks rather than vote on Walker's union limits bill. In November 2002, he was elected Senate Assistant Minority Leader by his colleagues. In November 2006, he was elected Senate Assistant Majority Leader. Hansen in 2013 was serving as Senate Assistant Democratic Leader."
Gene Green,Democrat from Texas,"The official biography for U.S. Rep. Gene Green, D-Houston, says he was first elected to Congress in 1992 and has served since 1996 on the House Energy and Commerce Committee; for the 113th Congress, he also is a member of the subcommittees on health, energy and power, environment and economy and the oversight and investigations. Previously, Green served 20 years in the Texas House of Representatives and the Texas Senate, the biography says. He is a native of Houston, with degrees from the University of Houston and Bates College of Law at the University of Houston."
" Save Our City, Milwaukeeans Can't Wait",,"Save Our City, Milwaukeeans Can't Wait registered with the City of Milwaukee in July 2017 as a political committee seeking to recall Milwaukee Mayor Tom Barrett."
Alan Simpson,Republican from Wyoming,"Alan Simpson is a former U.S. senator from Wyoming. He is co-chair of the bipartisan National Commission on Fiscal Responsibility and Reform, which was created in 2010 by President Barack Obama. It is charged with tackling the challenges of the nation's fiscal situation."
Mark S. Zaccaria,,
Robert Flanders,State official from Rhode Island,"Robert G. Flanders Jr. is a former Rhode Island Supreme Court justice, former chairman of the Rhode Island Board of Regents for Elementary and Secondary Education, and former receiver for the city of Central Falls."
Kip Kendrick,Democrat from Missouri,Kip Kendrick is a Democrat in the Missouri state House whose district includes Columbia.
Erick Erickson,,Erick Erickson is editor of popular conservative blogs RedState.com and PeachPundit.com.
Alexi Giannoulias,Democrat from Illinois,"Alexi Giannoulias is the former state treasurer of Illinois. He ran for the U.S. Senate in 2010 as the Democratic nominee for the seat formerly held by President Barack Obama, but was narrowly defeated by then-Rep. Mark Kirk."
Frank Wolf,Republican from Virginia,"Frank Wolf, R-10th, has been a member of the U.S. House of Representatives since 1981. The 10th District stretches from McLean to Winchester. Wolf sits on the House Appropriations Committee, where he is the Chairman of the Commerce, Justice and Science subcommittee. In addition, he is the co-chairman of the Tom Lantos Human Rights Commission, a bipartisan organization made up of more than 200 members of Congress who work together to raise awareness about international human rights issues. Wolf announced in December 2013 that he would not run for re-election in 2014. Wolf served as a lawyer in the U.S. Army Reserves. He lost the first two congressional elections he ran in before winning in 1980. Wolf was born in 1939 in Philadelphia. He received his undergraduate degree from Penn State University in 1961 and his law degree from Georgetown University in 1965."
Paul Broun,Republican from Georgia,"U.S. House Rep. Paul Broun, a Republican, is from Athens. He represents Georgia's 10th congressional district."
Scott Hochberg,Democrat from Texas,"Scott Hochberg, initially elected to the Texas House in 1992, did not seek re-election in 2012."
Presente.org,,
Alan Krueger,"Democrat from Washington, D.C.",Alan Krueger chairs the president's Council of Economic Advisers. He has been assistant secretary for economic policy and chief economist at the U.S. Department of the Treasury. He is on leave from his post as professor of economics and public affairs at Princeton University.
Bill Proctor,Republican from Florida,"Rep. William L. ""Bill"" Proctor lives in St. Augustine and chairs the house education committee. He was elected to the House in 2004."
Beverly Hall,,Beverly Hall is former Superintendent for Atlanta Public Schools.
Sly James,None from Missouri,mayor of Kansas City Mo.
Carlos Trujillo,Republican from Florida,Rep. Carlos Trujillo is a Miami attorney first elected to the Florida House in 2010.
Larry Kudlow,Republican from New York,Larry Kudlow is a longtime economic commentator who was named director of the National Economic Council by President Donald Trump in 2018.
Florida Chamber of Commerce,None from Florida,The Florida Chamber of Commerce is a business group that is supporting a series of proposed education reforms that would tie teacher pay increases to student performance.
