author;title;description;type
Grover Norquist;nan;Grover Norquist is president of Americans for Tax Reform, a group he founded in 1985 to advocate for a tax system in which taxes are simpler, flatter, more visible, and lower than they are today. Its flagship program is the Taxpayer Protection Pledge, which it began promoting in 1986 and expanded to the state level in 1990. Those who sign on to the pledge commit to oppose any effort to increase income taxes on individuals or businesses. Norquist also serves on the board of directors of the National Rifle Association of America, the American Conservative Union and The Nixon Center.;
Chicago Public Schools;None from Illinois;Chicago Public Schools is the third largest school district in the United States.;
Marla Stephens;None from Wisconsin;Marla Stephens is the head of the appellate division of the Wisconsin state public defender’s office. She was an unsuccessful candidate for the state Supreme Court in spring of 2011, losing in the four-way primary.;
J.B. Powell;nan;J.B. Powell is a Democratic candidate for Georgia Agriculture commissioner;
Vernon Jones;nan;Vernon Jones is a Democrat running to represent Georgia's 4th Congressional District.;
Lynn Westmoreland;nan;Rep. Lynn Westmoreland is a Republican from Georgia.;
Pete Buttigieg;nan;Pete Buttigieg is the mayor of South Bend, Indiana. Buttigieg was first elected mayor in 2011 and was re-elected in 2015. From 2009 to 2017, he served in the U.S. Navy Reserve and was a lieutenant. He received a bachelor’s degree in history and literature from Harvard College and a first-class honors bachelor’s degree in philosophy, politics and economics from Pembroke College as a Rhodes Scholar. In 2019, he announced he is running for the Democratic nomination for president.;
Jack Ohman;None from California;Jack Ohman, editorial cartoonist for the Sacramento Bee, previously worked at the Oregonian, the Detroit Free Press and the Columbus Dispatch. His work is syndicated to more than 200 newspapers by Tribune Media Services. Read more here: http://www.sacbee.com/ohman/#storylink=cpy;
Michael Reagan;nan;Michael Reagan is a talk show host and Republican strategist.;
Austin Independent School District;None from Texas;The Austin Independent School District serves Austin, the state capital.;
Town hall audience member;nan;This unnamed audience member asked Donald Trump a question at a Sept. 17, 2015 town hall in Rochester, N.H.;
Daniel Greenfield;nan;Daniel Greenfield is an Israeli-born journalist who writes for conservative publications.;
Let Freedom Ring;nan;Let Freedom Ring is a conservative group.;
Oklahoma Council of Public Affairs;nan;The Oklahoma Council of Public Affairs is free-market think tank modeled after the Heritage Foundation.;
Leslie Geissler Munger;nan;Leslie Geissler Munger was sworn in as Illinois State Comptroller on January 12, 2015. Comptroller Munger is a native Illinoisan, earning her bachelor’s degree at the University of Illinois and her master’s degree from the Kellogg School of Management at Northwestern University.;
Hagar Chemali;None from Connecticut;Hagar Hajjar Chemali is founder and CEO of Greenwich Media Strategies LLC. Previously, she served as director of communications and spokesperson for the U.S. Mission to the United Nations and for Ambassador Samantha Power. She has also served as spokesperson for terrorism and financial intelligence at the Treasury Department.;
Erika Sanzi;Activist from Rhode Island;Erika Sanzi, who writes about school reform, worked for 10 years as an educator in Massachusetts, California and Rhode Island. From 2010 to 2012, she served as an at-large member of the School Committee in Cumberland, R.I., where she she lives.;
Texans for Reliable Power;nan;"Texans for Reliable Power was founded by investor-owned power plants in the state with a focus on on ""changing the market structure so there are incentives to build new generation and prevent a reliability crisis and a large increase in blackouts in the years to come,"" spokesman Eric Bearse told PolitiFact Texas.";
Ken Allen;nan;Ken Allen is Executive Director of the American Federation of State County and Municipal Employees, Council 75.;
Patrick Wales;None from Virginia;Patrick Wales is project manager for Virginia Uranium Inc., which wants to mine uranium at Coles Hill in Pittsylvania County. Wales was born in Charlottesville and raised in Danville, and he now lives in Danville with his wife, an elementary school teacher, and 3-year-old son. He holds a bachelor’s degree in geology from Radford University and a master’s in geology from the University of Mississippi. He has been with Virginia Uranium since 2007.;
Pari Sabety;None from Ohio;Pari Sabety was Ohio's state budget director under Gov. Ted Strickland.;
Sloan Roach;nan;Sloan Roach is the executive director of the communications department at Gwinnett County Schools.;
Jesse Kremer;nan;Wisconsin state Rep. Jesse Kremer, a Republican from Kewaskum, northwest of Milwaukee, was elected to the state Assembly in 2014.;
Clackamas County Commission;nan;The five-member Clackamas County Board of Commissioners govern the county.;
Duffel Blog;nan;Duffel Blog is a satirical website about the military.;
Kriner Cash;nan;Kriner Cash was hired as superintendent of Memphis City Schools, Tennessee's largest school district, in 2008. He is under contract with MCS until Aug. 1, 2013, at an annual salary of $276,500. Cash previously served as chief of accountability and systemwide performance for Miami-Dade County (Fla.) Public Schools.;
Glenn Greenwald;nan;"Glenn Greenwald is a journalist formerly of the ""Guardian."" Greenwald published classifed material from National Security Administration contractor Edward Snowden. Greenwald is in the process of starting a new journalism project funded by eBay founder Pierre Omidyar.";
Cascade Policy Institute;nan;Cascade Policy Institute is a libertarian think tank dedicated to limited government.;
Kate Obenshain;nan;Kate Obenshain is a Republican pundit and author of the book Divider-in-Chief.;
Shenggen Fan;nan;Dr. Shenggen Fan is the director general of the International Food Policy Research Institute;
Joe Atkins;nan;Minnesota state Rep. Joe Atkins, a member of the Democratic-Farmer-Labor Party, is from the Twin Cities area.;
Neil Cavuto;nan;Neil Cavuto is a host on Fox News and Fox Business Network.;
Melissa Johnson;nan;Melissa Johnson is a policy analyst with the Georgia Budget and Policy Institute in Atlanta.;
Restoration PAC;nan;Suburan Chicago-based Restoration PAC is a super PAC that was formed in January 2015.;
Jeff Morales;State official from California;CEO, California High-Speed Rail Authority;
Mark Johnson;nan;Rep. Mark Johnson, R-Hood River, represents District 52 in the Oregon House.;
Snapchat;nan;Snapchat is a sociale media messaging platform that allows users to send videos and pictures that will automatically deleted after a few seconds of a person viewing them.;
Restore American Freedom and Liberty;nan;Denver-based Restore American Freedom and Liberty is a “hybrid” political action committee that is not affiliated with a candidate and can operate as a traditional PAC, contributing funds to a candidate's committee, and as a super PAC, which makes independent expenditures.;
Joe Theismann;None from Virginia;Joe Theismann played in the NFL for 12 years, winning a Super Bowl for the Washington Redskins in Super Bowl XVII. In 1983, he won the NFL's MVP award for bringing the team to another Super Bowl. The Notre Dame alumnus's pro football career ended when he broke his leg in a 1985 game. He has worked for ESPN and the NFL Network in recent years, with occasional appearances on Fox News.;
Brian Deese;nan;Brian Deese is a deputy director of the White House National Economic Council. Formerly a law student at Yale, Deese was the first member of President Barack Obama’s Auto Task Force.;
Ed Turanchik;nan;Ed Turanchik is a candidate for mayor in Tampa's nonpartisan elections on March 1, 2011. He previously served on the Hillsborough County Commission from 1990-98.;
Regina Benjamin;nan;Dr. Regina Benjamin is Surgeon General of the United States. She attended Morehouse School of Medicine;
David Sciarra;None from New Jersey;David Sciarra is executive director of the New Jersey Education Law Center;
Georgia Department of Transportation;nan;The Georgia Department of Transportation plans and maintains state roads and bridges.;
Texas Organizing Project;None from Texas;The Texas Organizing Project says it works to improve the lives of low-income and working class Texas families through community organizing, and civic and electoral engagement. The group describes itself as a membership-based organization that conducts direct action organizing, grassroots lobbying and electoral organizing led by working families in Texas.;
Marty Beil;nan;Marty Beil is executive director of the Madison-based Council 24 of the American Federation of State, County and Municipal Employees union, which represents a variety state employees in Wisconsin.;
Maurice Thompson;None from Ohio;Maurice A. Thompson is executive director of 1851 Center for Constitutional Law, a law firm dedicated to protecting the constitutional rights of Ohioans from government abuse.;
Creative Advocacy Network;None from Oregon;The Creative Advocacy Network is a group that seeks to expand access to the arts;
Texas Future;nan;Texas Future says it's an effort dedicated to improving transportation funding in the state.;
Pamela Geller;Activist from New York;"Pamela Geller is an activist who co-founded Stop Islamization of America, also known as the American Freedom Defense Initiative, a far-right group. In February 2015, Geller's group hosted a ""Draw the Prophet"" event in Garland, Texas, during which two shooters tried to ambush the event but were killed.";
Represent.us;None from Massachusetts;"Represent.us is ""building a fiercely non-partisan movement to pass tough anti-corruption laws in cities and states across America.”";
Rebecca Blank;nan;Rebecca Blank became chancellor of the University of Wisconsin-Madison in July 2013. She had mostly recently been the acting commerce secretary in President Barack Obama's administration.  She previously served as a member of the President's Council of Economic Advisers under presidents George H.W. Bush and Bill Clinton.;
Kitty Rhoades;nan;Republican Kitty Rhoades, a member of the Wisconsin Assembly from 1999 through 2010, became the deputy secretary of the state Department of Health Services in January 2011. In February 2013, she was appointed secretary of the department by Gov. Scott Walker.;
Credo Action;nan;Credo Action is a progressive activism organization, supported by their sister mobile phone company CREDO mobile.;
Restore Our Future;nan;Restore Our Future is a super PAC run by supporters of Mitt Romney.;
Center for Western Priorities;nan;The Center for Western Priorities is a conservation group based in Colorado.;
Missouri Department of Economic Development;None from Missouri;The Missouri Department of Economic Development is a state government agency that supports economic growth in the state.;
Edward Flynn;nan;Edward Flynn was the police chief in Milwaukee, Wis., from January 2008 to February 2018. He was police commissioner in Springfield, Mass., from 2006 to 2008. He served as secretary of public safety under then-Massachusetts Gov. Mitt Romney from January 2003 until taking the Springfield job.;
Libertarian Party of Georgia;nan;The Libertarian Party of Georgia was founded in 1972, according to its website.;
Clayton County Schools;None from Georgia;The Clayton County school district, which has about 51,000 students, is located just south of Atlanta city limits.;
Jennifer Parrish;Activist from Minnesota;Jennifer B. Parrish, proprietor of Little Learners childcare, Rochester, Minn., campaigns against labor union representation of home-based childcare providers.;
Tony Thurmond;nan;Tony Thurmond is a Democrat and California state assemblyman representing Richmond, Berkeley and other East Bay communities. He is a 2018 candidate for State Superintendent of Public Instruction.;
Cato Institute;nan;The Cato Institute is a non-profit public policy research foundation headquartered in Washington, D.C.;
Friends of Greenlight;nan;"Friends of Greenlight is a pro-transit political action committee dedicated to promoting the Greenlight Pinellas mass transit initiative. Their slogan is ""Vote Yes on Greenlight.""";
Keith Olbermann;nan;Keith Olbermann is the host of Countdown with Keith Olbermann on MSNBC.;
Chris Sgro;Activist from North Carolina;Chris Sgro is the executive director of Equality NC.;
Sacramento Bee Editorial Board;nan;The editorial board of The Sacramento Bee says it composes editorials that are its collective opinion. It meets regularly to discuss community concerns and issues of the day, it says.;
Mario Loyola;None from Texas;Mario Loyola is a Senior Fellow at the Texas Public Policy Foundation. Loyola joined the Foundation in July 2010 as founding director of the Center for Tenth Amendment Action, focusing on energy and environment, healthcare, and other federalism issues. He began his career in corporate law. Since 2003, he has focused on public policy, dividing his time between government service and research and writing at prominent policy institutes. He served in the Pentagon as a special assistant to the Under Secretary of Defense for Policy, and on Capitol Hill as counsel for foreign and defense affairs to the U.S. Senate Republican Policy Committee.;
Citizens for Lower Taxes and a Stronger Economy;None from Florida;A political action committee opposing Florida's proposed Amendment 4.;
NowThis;nan;NowThis is a New York-based company that aims to share news via social media in short clips of GIFs and videos for largely mobile users.;
John Watson;None from Georgia;John Watson is a senior adviser to Citizens for Transportation Mobility, an organization supporting Georgia's transportation sales tax referendum.;
Next Generation Climate Action Committee;nan;Next Generation Climate Action Committee is a Democratic-aligned super PAC promoting awareness and solutions to global warming. The group was founded by Thomas Steyer, a billionaire who in 1986 founded Farallon Capital Management, a San Francisco hedge fund.;
Brahma Chellaney;nan;Brahma Chellaney is a professor of strategic studies at the Centre for Policy Research in New Delhi, India. He specializes in international security and arms control issues.;
Virginia Lottery;nan;The Virginia Lottery was approved by state voters in 1987 and sold its first tickets the next year. In 2011, it is expected $436 million in profits which will be disbursed to K-12 education.;
Freedom Partners;None from Virginia;"Freedom Partners, initially called the Association for American Innovation when it was established in November 2011, promotes ""the benefits of free markets and a free society"" and claims ""over 200 members."" The Washington Post reported that Freedom Partners served as a hub for political spending by billionaire industrialists Charles and David Koch.";
Mike Plant;None from Georgia;Mike Plant is an executive vice president with the Atlanta Braves.;
Occupied Wall Street Journal;None from New York;The Occupied Wall Street Journal is a newspaper of the Occupy Wall Street movement.;
Salmon for All;nan;Salmon for All is based in Astoria and represents commercial gillnetters.;
Charles Koch;None from Kansas;Charles G. Koch is chairman of the board and CEO of Koch Industries, Inc., a position he has held since 1967. He is also a major donor to libertarian causes.;
John Burzichelli;nan;John Burzichelli is a Democratic assemblyman who represents parts of Cumberland, Gloucester and Salem counties. He also serves as the Assembly's deputy speaker.;
Chris Taylor;nan;Wisconsin state Rep. Chris Taylor, a Madison Democrat, was elected to the Assembly in a special election in August 2011. An attorney, she is the former public policy director of Planned Parenthood of Wisconsin.;
Deepwater Wind;nan;Deepwater Wind is a Providence-based company that is developing offshore power-generating wind farm projects. It is planning to build up to 200 wind turbines in Rhode Island Sound that could provide electricity to Rhode Island, Massachusetts and New York.;
Ari Melber;nan;"Ari Melber is a host of MSNBC's ""The Cycle"" and a correspondent for ""The Nation.""";
Keith Parker;None from Georgia;Keith Parker is the general manager/CEO of the Metropolitan Atlanta Rapid Transit Authority.;
Gayle Smith;nan;Gayle Smith is USAID administrator.;
Sara Stevenson;None from Texas;Sara Stevenson, a middle-school librarian in Austin, wrote an op-ed article for the Austin American-Statesman in April 2012.;
Andrew Napolitano;The PolitiFact scorecard;Andrew Napolitano is a Fox News political commentator and legal analyst.;
Ed Schultz;The PolitiFact scorecard;Ed Schultz is the host of the Ed Show on MSNBC.;
Randy Bryce;nan;Democrat Randy Bryce, an Army veteran, union leader and iron worker, lives in Caledonia in Racine County, Wisconsin. In November 2018, he lost a bid for Wisconsin's 1st District congressional seat, which had been held by U.S. House Speaker Paul Ryan, a Janesville Republican. Bryce also lost races for the Wisconsin Legislature in 2012 and 2014 and lost a 10-way primary for the Racine County Board of Education in 2013.;
Everytown for Gun Safety;nan;Everytown for Gun Safety is an advocacy group that seeks to prevent gun violence.;
Gretchen Carlson;None from Minnesota;Gretchen Carlson is a co-anchor of the Fox News Channel morning show Fox & Friends.;
Bob Donovan;None from Wisconsin;Bob Donovan is a Milwaukee alderman, representing a district on the city's south side.  He was elected to the Common Council in 2000. In July 2014 he declared himself a candidate for mayor of Milwaukee in the 2016 election.;
Xi Jinping;None from China;Xi Jinping is the president of China and the general secretary of the Chinese Communist Party, the most powerful position in China. He previously served as vice president from 2008 to 2013. He was born in 1953.;
Kim Guadagno;nan;Kim Guadagno is the Lieutenant Governor of New Jersey.;
Yard sign;nan;A yard sign is often made of wood or cardboard and, for our purposes, carries a political message.;
Floridians for Solar Choice;None from Florida;Floridians for Solar Choice is a political action committee that is collecting signatures to get a question on the 2016 ballot to make it easier for property owners to obtain solar energy.;
Megyn Kelly;nan;"Megyn Kelly is a journalist with NBC News. Previously, she was a journalist at Fox News and hosted ""The Kelly File"" on weeknights.";
Ana Navarro;nan;Ana Navarro is a Republican strategist and CNN political commentator.;
Arian Foster;nan;Arian Foster is a running back for the Houston Texans.;
Bike Austin;None from Texas;"Bike Austin, an advocacy group, says its mission is to ""improves quality of life for all of Austin and Central Texas by growing bicycling as a form of transportation, exercise, and recreation.""";
Ron Bergeron;nan;A Broward County paving contractor who has served as a Florida Fish and Wildlife Conservation Commission commissioner since 2007.;
Center for Individual Freedom;nan;The Center for Individual Freedom is a conservative political action committee based outside of Washington, D.C. that says its mission is to “protect and defend individual freedoms and individual rights guaranteed by the U.S. Constitution.”;
Connie Stokes;nan;Connie Stokes is a former DeKalb County Commissioner and state Senator. She is the Democratic candidate for Georgia's lieutenant governor in 2014.;
OurLandOfTheFree.com;nan;A website associated with fake news.;
Clint Eastwood;nan;The film star spoke at the 2012 Republican National Convention and appeared in TV commercials in support of Mitt Romney.;
Americans For Tax Reform;nan;Americans For Tax Reform was founded in 1985 by Grover Nordquist. It advocates a tax system in which the taxes are simpler, flatter, more visible, and lower than they are today. It views the government's power to control one's life as derived from its power to tax and believes that power should be minimized. Its flagship program is the Taxpayer Protection Pledge, which it began promoting in 1986 and expanded to the state level in 1990. Those who sign on to the pledge commit to oppose any effort to increase income taxes on individuals or businesses.;
Emergency Committee for Israel;None from Washington, D.C.;The Emergency Committee for Israel advocates for a strong US-Israel relationship, particularly on security issues. Its board includes such conservatives as William Kristol and Gary Bauer.;
Marc Schare;None from Ohio;Marc Schare is a member of the Board of Education for the Worthington City School District in northern Franklin County. The District includes Worthington and portions of Columbus.;
Jack Berry;None from Virginia;Jack Berry is one of about a dozen candidates running for Richmond mayor in 2016. He recently resigned as executive director of Venture Richmond, an organization that promotes Richmond through economic development, marketing, festivals and events. Berry worked as budget analyst and assistant city manager in Richmond and was county administrator in Hanover County. He joined Venture Richmond in 2006.;
Make Us Great Again;nan;Make Us Great Again is a super PAC supporting Rick Perry for president.;
Allie McCullen;None from Georgia;Allie McCullen is a statewide organizer with Georgia Students for Public Higher Education and a senior at the University of Georgia.;
Terry Jeffrey;None from Virginia;Terence P. Jeffrey started as editor in chief of CNSNews.com in September 2007. Prior to that, he served for more than a decade as editor of Human Events, where he is now an editor at large.;
Texas Department of Transportation;None from Texas;The Texas Department of Transportation says its mission is to maintain existing roadways and collaborate with private and local entities to plan, design, build and maintain expanded transportation infrastructure.;
Jim Francesconi;None from Oregon;Jim Francesconi is a member of the Oregon State Board of Higher Education.;
Family Forward Oregon;nan;Family Forward Oregon is an advocacy group that promotes paid family leave, paid sick leave, and greater workplace flexibility for parents.;
Charley English;None from Georgia;Charley English is the director of the Georgia Emergency Management Agency. He began his career in public service in 1980 as a police officer. He was appointed director in 2006.;
Hugh Hewitt;nan;Hugh Hewitt is the host of a nationally syndicated radio show and a columnist.;
Brett Bittner;nan;Brett Bittner is executive director of the Libertarian Party of Georgia.;
Occupy Providence;nan;Occupy Providence, an offshoot of the Occupy Wall Street movement, began protesting in the city's Burnside Park since Oct. 15, 2011.;
Stand For Children Tennessee;None from Tennessee;Stand For Children is a special-interest group pushing child and education issues.;
Occupational Knowledge International;nan;Occupational Knowledge International is a nonprofit organization dedicated to improving public health through innovative strategies to reduce exposures to industrial pollutants.;
US Political News;nan;US Political News posts fake news.;
Bill Hightower;nan;Bill Hightower is a state senator in Alabama running for governor in 2018.;
Focus on the Family Action;nan;Focus on the Family Action is the lobbying arm of Focus on the Family, an organization founded by evangelical Christian Dr. James Dobson.;
Jim Bohl;None from Wisconsin;Jim Bohl has served as an alderman on the Milwaukee Common Council since April 2000. Before being elected, he worked as a high school teacher and as an aide to Milwaukee Mayor Tom Barrett, when Barrett served as a Democratic member of Congress.;
AmericanNews.com;nan;AmericanNews.com is a website of undetermined origin.;
Sally Kohn;nan;Sally Kohn is a liberal columnist and TV pundit based in Brooklyn, N.Y. Kohn is a contributor for CNN and writes columns for the Daily Beast. She also works as a communications consultant and has been active in social justice organizations.;
Environmental Protection Agency;None from Washington, D.C.;The U.S. Environmental Protection Agency is a federal regulatory agency.;
John Hutson;None from New Hampshire;John Hutson is a retired United States Navy rear admiral and the former Judge Advocate General of the Navy.;
Morten Jerven;nan;"Morten Jerven is associate professor at the Norwegian University of Life Sciences.  In 2013, he wrote ""Poor Numbers: How We Are Misled by African Development Statistics and What to Do about It"", published by Cornell University Press";
Jon Stewart;nan;Jon Stewart is a comedian and host of Comedy Central's The Daily Show.;
Barney Bishop;None from Florida;Barney Bishop is the president and CEO of Associated Industries of Florida, a pro-business group supporting more offshore oil drilling.;
James Stegmaier;None from Virginia;James J. L. Stegmaier has been the Chesterfield County administrator since July 2007. Before that appointment, he was the deputy county administrator for management services beginning in 1997 and the director of the county budget and management department fro 1986-97. Stegmaier graduated from The Catholic University of America, Washington, D.C., in 1976, and also holds a master's degree in public administration from the University of Virginia. He has also attended the Government Finance Officers Association Executive Finance Institute at Georgetown University, Leadership Metro Richmond, and the Senior Executive Institute at the University of Virginia.;
Hetty Rosenstein;None from New Jersey;Hetty Rosenstein is the New Jersey director of the Communication Workers of America, the largest union representing state workers.;
Kendall Jones;nan;Kendall Jones is a Texas teenager who posts stories about her hunting trips on Facebook.;
Carol Hunstein;None from Georgia;Carol Hunstein is the chief justice of the Georgia Supreme Court.;
Federal Transit Administration;nan;The Federal Transit Administration is part of the U.S. Department of Transportation.;
Sheriff David Clarke for U.S. Senate;nan;Sheriff David Clarke for U.S. Senate is an official draft campaign trying to persuade Milwaukee County Sheriff David A. Clarke Jr. to run for a U.S. Senate seat in Wisconsin in 2018.;
Ron Book;None from Florida;Ron Book is one of the most powerful lobbyists in Florida and lobbies the state Legislature. Based in Aventura in South Florida,  Book represents numerous businesses, associations and local governments including Broward and Miami-Dade counties. He has represented the Miami Dolphins since 1982.;
Ben Shapiro;nan;Ben Shapiro is a conservative political commentator and columnist;
Florida voter;None from Florida;These are claims made about politicians from Florida voters that are then repeated in the news media.;
Antonin Scalia;nan;Associate Justice Antonin Scalia has served on the Supreme Court since 1986. He is an appointee of former President Ronald Reagan.;
Gina Hinojosa;None from Texas;Gina Hinojosa of Austin, a civil rights and employment attorney, was elected to Austin's school board in 2012 and elected board president by fellow trustees in January 2015. She stepped down from that position, remaining on the board, to bid successfully for the 2016 Democratic nomination representing Texas House District 49.;
Brad Rockwell;None from Texas;Austin lawyer Brad Rockwell, who focuses on environmental matters, is former deputy director of the Save Our Springs Alliance.;
Jamie Samons;State official from Rhode Island;Jamie Samons is public affairs manager for the Narragansett Bay Commission, the quasi-public agency that runs Rhode Island's biggest sewage treatment system.;
Competitive Enterprise Institute;nan;"The Competitive Enterprise Institute describes itself as ""a non-profit public policy organization dedicated to advancing the principles of free enterprise and limited government. We believe that individuals are best helped not by government intervention, but by making their own choices in a free marketplace.""";
Benjamin Netanyahu;None from Israel;Benjamin Netanyahu is the prime minister of Israel. He served in that position between 1996 and 1999, and then from 2009 until the present. He has held other high offices in Israel, including minister of foreign affairs.;
Carl Hosticka;nan;Carl Hosticka is a Metro councilor running for Oregon House District 37. He is a Democrat challenging Rep. Julie Parrish, R-West Linn.;
Peter Courtney;nan;Peter Courtney, D-Salem, is Senate President of Oregon.;
Florida Stop Common Core Coalition;None from Florida;The Florida Stop Common Core Coalition is a group that opposes Common Core.;
Noah Smith;None from Washington, D.C.;Noah Smith is a columnist for Bloomberg View. He was previously an assistant professor of finance at Stony Brook University. He also blogs at Noahpinion.;
Josh Earnest;nan;Josh Earnest is the White House press secretary under President Barack Obama. He replaced Jay Carney, for whom Earnest was a deputy press secretary, in June 2014.;
Elaine Boyer;nan;Elaine Boyer, a Republican, is a DeKalb County commissioner;
Oregon Republican Party;nan;The Oregon Republican Party is the state GOP party.;
Andre Jacque;nan;Wisconsin Rep. Andre Jacque, R-DePere, was elected to the state Assembly in 2010.;
Consumers for Smart Solar;nan;"Consumers for Smart Solar is a utilities-backed advocacy group promoting Amendment 1, the ""Rights of Electricity Consumers Regarding Solar Energy Choice"" ballot measure.";
Cocks Not Glocks;None from Texas;In Cocks Not Glocks, University of Texas students in August 2016 wielded dildos to depict as absurd a state law permitting licensed individuals to bring concealed handguns into campus buildings including classrooms.;
Pete Winstead;nan;Winstead, an Austin-area attorney practicing business law, has long been active in regional politics on issues including transportation.;
Jeff Greenfield;nan;Jeff Greenfield is a television journalist and author focusing on politics, media and culture. He served as a senior political correspondent for CBS, a senior analyst for CNN, and a political and media analyst for ABC News.;
Christopher Monckton;None from United Kingdom;a conservative activist, former adviser to British Prime Minister Margaret Thatcher and the Third Viscount Monckton of Brenchley;
Tim Ziemer;nan;Read admiral Tim Ziemer is director of the President's Malaria Initiative.;
American Federation for Children;nan;The American Federation for Children is an interest group focused on education issues, including supporting school choice and voucher initiatives.;
Committee for Our Children's Future;None from New Jersey;Committee for Our Children's Future, a nonprofit group known as a 501(c)4, launched a television campaign in September 2011 to tout the reform efforts of Gov. Chris Christie.;
Don Francis;nan;Don also works with Dept. of Energy;
Babylon Bee;nan;"The Babylon Bee describes itself as""your trusted source for Christian news satire.""";
Texans for America's Future PAC;nan;Texans for America's Future, founded to prevent the election of Rick Perry as president, says its latest focus is on electing Democrats in Houston and Harris County.;
Michael Tyler;None from Georgia;Michael W. Tyler is Chariman of the Metropolitan Atlanta Rapid Transit Authority's Board of Directors.;
Chelsea Clinton;nan;Chelsea Clinton is the daughter of former President Bill Clinton and former Secretary of State Hillary Clinton.;
CNN;nan;CNN is a 24-hour cable network.;
Basil Seggos;None from New York;Basil Seggos is the Commissioner of the New York Department of Environmental Conservation under Governor Andrew M. Cuomo.;
Ed Whitacre;nan;Ed Whitacre is a former chairman and CEO of General Motors Company, having been appointed in 2009 to oversee the company’s restructuring. He relinquished both roles a year later as the new GM went public.;
Gloria Steinem;nan;Gloria Steinem is a writer, lecturer, editor, and feminist activist.;
Brett Hulsey;nan;Democrat Brett Hulsey of Madison, the owner of an energy and environmental consulting firm, was elected to the Wisconsin Assembly in 2010. He was an unsuccessful candidate in the Aug. 12, 2014 Democratic primary for governor.;
Melissa Sargent;nan;Wisconsin state Rep. Melissa Sargent, D-Madison, was elected to the Assembly in 2012. She served on the Dane County Board of Supervisors from 2010 to 2014. She owns an art reproduction business.;
Ralph Peters;nan;Retired Army Lt. Col. Ralph Peters is a strategic analyst at Fox News, offering insights on military activities and international affairs.;
Citizens Against Rail Taxes;None from Tex;Citizens Against Rail Taxes, a political action committee, opposes the rail proposition on the City of Austin ballot in November 2014.;
 Americans For Prosperity, North Carolina chapter;nan;Americans For Prosperity, a conservative political group, has a North Carolina branch that's active in state politics.;
Portland Bureau of Transportation (PBOT);None from Oregon;The transportation bureau in the city of Portland.;
Curt Schilling;nan;Curt Schilling is an ESPN commentator and former major league baseball pitcher.;
Tina Rosenberg;nan;Tina Rosenberg is a Pulitzer Prize-winning journalist journalist who frequently writes for the New York Times.;
Hillary Mann Leverett;nan;Hillary Mann Leverett is a Middle East specialist who worked in the State Department and served on the National Security Council from 2001-2003. She is the co-author of Going to Tehran: Why the United States Must Come to Terms with the Islamic Republic of Iran.;
Forecast the Facts;nan;"Forecast the Facts is a project of the progressive Citizen Engagement Laboratory, which describes itself as ""a home for social entrepreneurs like themselves and a launching pad for new ideas and people powered projects that seek to change the world by leveraging the power of the internet.""";
Menominee Indian Tribe of Wisconsin;None from Wisconsin;According to the tribe's website, the seat of government for the Menominee Tribe is located approximately 45 miles northwest of Green Bay, Wisconsin, on the Menominee Indian Reservation, in the Village of Keshena. The Reservation shares nearly coterminous geopolitical boundaries with Menominee County, is situated on the ancestral homelands of its 8,551 tribal members, and includes 5 main communities: Keshena, Neopit, Middle Village, Zoar, and South Branch. The Reservation is comprised of 235,523 acres, or approximately 357.96 square miles, and includes over 407 miles of improved and unimproved roads, 187 rivers and streams, and 53 lakes. The Reservation is located in the 8th Congressional District for the State of Wisconsin.;
Big Gamble NJ;None from New Jersey;Big Gamble NJ is a joint campaign started by the Communications Workers of America and the Asian American Retailers Association that opposes efforts to privatize the state lottery.;
Free Market Florida;None from Florida;Free Market Florida is a group led by Ryan Houck that is fighting EPA proposed water quality standards for Florida.;
John Pistole;nan;John Pistole is the administrator of the Transportation Security Administration. Pistole came to TSA after 26 years at the Federal Bureau of Investigation where he rose to the position of deputy director.;
Tavern League of Wisconsin;nan;"The Tavern League of Wisconsin describes itself as ""a non-profit trade association dedicated to serving the needs of the retail beverage alcohol segment of the hospitality industry.""";
Bing West;None from Rhode Island;Bing West is a Marine veteran of the Vietnam War and a former assistant secretary of defense for international security affairs in the Reagan administration. He is the author of numerous books on military affairs.;
University of Oregon;nan;The University of Oregon is a public university. It is located in Eugene, Ore.;
Tere McCann;None from Texas;In 2012, Tere McCann sought election to Place 2 on the Round Rock Independent School District Board of Trustees.;
Sarah Huckabee Sanders;nan;Sarah Huckabee Sanders was named White House press secretary in July 2017. The daughter of former Arkansas Gov. Mike Huckabee, she was a surrogate for Donald Trump's presidential campaign.;
Curtis Foltz;nan;Curtis Foltz is executive director of the Georgia Ports Authority.;
Mickie Williams;nan;nan;
Chris Clark;None from Georgia;Chris Clark is president of the Georgia Chamber of Commerce. The chamber is a private organization whose primary goal is to further the business interests of its membership.;
John Bolton SuperPAC;nan;The John Bolton SuperPAC is run by John Bolton, the Republican political adviser and former U.N. ambassador.;
Patrick Moore;nan;Patrick Moore is a former member of Greenpeace who says there is no proof man is contributing to a warming planet. He more recently worked as a communications consultant for nuclear energy industries;
Protect American Jobs;nan;Protect American Jobs is a 501(c)4 group that has aired television ads opposing a repeal of Wisconsin's prevailing wage law.;
Stephen Kretzmann;nan;nan;
